,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,description_wiki
2465,14691,Cossacks: European Wars,PC,2001.0,Strategy,Strategy First,0.0,0.02,0.0,0.0,0.03,Scène de bataille.
2466,14692,The Island of Dr. Frankenstein,Wii,2009.0,Adventure,Storm City Games,0.03,0.0,0.0,0.0,0.03,no_data
2467,14693,TV Total Events,Wii,2011.0,Misc,7G//AMES,0.0,0.02,0.0,0.0,0.03,no_data
2468,14694,Battle Arena Toshinden URA,SAT,1995.0,Fighting,Sega,0.0,0.0,0.03,0.0,0.03,no_data
2469,14695,Darius Burst: Chronicle Saviours,PSV,2016.0,Action,Kadokawa Games,0.0,0.0,0.03,0.0,0.03,no_data
2470,14696,Biohazard: Revival Selection,X360,2011.0,Action,Capcom,0.0,0.0,0.03,0.0,0.03,no_data
2471,14697,Labyrinth Cross Blood: Infinity,PSV,2013.0,Role-Playing,CyberFront,0.0,0.0,0.03,0.0,0.03,no_data
2472,14698,Prince of Persia (2008),PC,2008.0,Action,Ubisoft,0.0,0.02,0.0,0.0,0.03,no_data
2473,14699,Super Duper Sumos,GBA,,Action,Unknown,0.02,0.01,0.0,0.0,0.03,no_data
2474,14700,HotBrain,PSP,2007.0,Puzzle,Midway Games,0.02,0.0,0.0,0.0,0.03,no_data
2475,14701,UK Truck Simulator,PC,2010.0,Simulation,,0.0,0.03,0.0,0.0,0.03,no_data
2476,14702,Gudetama: Hanjuku de Tanomuwa,3DS,2015.0,Action,Rocket Company,0.0,0.0,0.03,0.0,0.03,no_data
2477,14703,MechAssault: Phantom War,DS,2006.0,Simulation,Majesco Entertainment,0.03,0.0,0.0,0.0,0.03,"MechAssault
Phantom War
Développeur
Backbone Entertainment
Éditeur
Majesco
Date de sortie
29 juin 2007 (France)
Franchise
MechWarrior
Genre
action
Mode de jeu
Un joueur
Plateforme
Nintendo DS
Langue
Français
Évaluation
PEGI : 12+ ?
modifier - modifier le code - modifier Wikidata"
2478,14704,Magicka,PC,2011.0,Role-Playing,Paradox Interactive,0.0,0.02,0.0,0.01,0.03,"↑ http://arrowheadgamestudios.com/?page=games&subpage [archive] magicka
↑ http://appdb.winehq.org/objectManager.php?sClass=application&iId=12683 [archive]
↑ Hanna Eriksson / MiniMedia, « Studenterna som gjorde
årets bästa spel » [archive], sur nyteknik.se, 24 février 2009 (consulté le 25 août 2020).
↑ http://news.bigdownload.com/2011/02/11/interview-magickas-producer-talks-about-reaching-the-200-000-s/ [archive]
↑ En anglais: « far too complex to be part of a fantasy game »
↑ (en) « Start / Arrowhead » [archive], sur Arrowhead (consulté le 25 août 2020).
↑ Swedish Game Awards 2008 Winners [archive]"
2479,14705,Star Trek: The Game,PC,2013.0,Action,Namco Bandai Games,0.0,0.02,0.0,0.0,0.03,no_data
2480,14706,Moto Racer DS,DS,2008.0,Racing,Nobilis,0.0,0.02,0.0,0.0,0.03,"Moto Racer DS
Développeur
Artefacts Studio
Éditeur
EUR Nobilis
AN SouthPeak Games
Date de sortie
EUR 28 novembre 2008
AN 3 juillet 2010
Genre
Course
Mode de jeu
Solo, multijoueur
Plateforme
Nintendo DS
Moto Racer (d)
Moto Racer Advance Moto Racer: 15th Anniversary (d)
modifier - modifier le code - modifier Wikidata"
2481,14707,The Last Guy,PS3,2009.0,Action,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,"The Last Guy
Développeur
SCE Japan Studio
Éditeur
Sony Computer Entertainment
Date de sortie
JAP 31 juillet 2008
AN, EUR 28 août 2008
Genre
Jeu de labyrinthe
Mode de jeu
Un joueur
Plateforme
PlayStation 3
modifier - modifier le code - modifier Wikidata"
2482,14708,Disney Sports Soccer,GBA,2002.0,Sports,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,"Disney Sports
Football
Développeur
Konami
Éditeur
Konami
Date de sortie
GameCube
JAP 18 juillet 2002
AN 5 novembre 2002
EUR 7 février 2003
Game Boy Advance
JAP 18 juin 2002
AN 5 novembre 2002
EUR 6 décembre 2002
Genre
Sport (football)
Mode de jeu
Solo, multijoueur
Plateforme
Console(s) :
GameCube
Console(s) portable(s) :
Game Boy Advance
modifier - modifier le code - modifier Wikidata"
2483,14709,Akane Iro ni Somaru Saka Parallel,PS2,2008.0,Adventure,GN Software,0.0,0.0,0.03,0.0,0.03,no_data
2484,14710,Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,PSP,2011.0,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,no_data
2485,14711,Monster Hunter Frontier Online: Forward 1,X360,2011.0,Role-Playing,Capcom,0.0,0.0,0.03,0.0,0.03,no_data
2486,14712,X3: Terran Conflict,PC,2008.0,Simulation,Deep Silver,0.0,0.02,0.0,0.01,0.03,"Pour les articles homonymes, voir X3."
2487,14713,Timeshock! Pro Pinball,PS,1998.0,Misc,Empire Interactive,0.02,0.01,0.0,0.0,0.03,no_data
2488,14714,Max Payne,GBA,2003.0,Shooter,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03,"Max Payne
Genre
Tir à la troisième personne
Développeur
Remedy Entertainment, (2001-2003), Rockstar Studios (depuis 2012)
Éditeur
Rockstar Games
Distributeur
Rockstar Games
Personnalité clé
Sam Lake
Premier jeu
2001 : Max Payne
Plate-forme
Microsoft Windows, PlayStation 2, Xbox, Macintosh, Game Boy Advance, PlayStation 3, Xbox 360
Site web
Max Payne The Official Site
modifier - modifier le code - modifier Wikidata"
2489,14715,D1 Professional Drift Grand Prix Series,PS2,2005.0,Racing,Yuke's,0.01,0.01,0.0,0.0,0.03,no_data
2490,14716,Starry ? Sky: In Winter,PSP,2011.0,Misc,Asgard,0.0,0.0,0.03,0.0,0.03,no_data
2491,14717,Little Bears,DS,2009.0,Simulation,RTL,0.03,0.0,0.0,0.0,0.03,no_data
2492,14718,Rush Hour,PS,1997.0,Misc,Psygnosis,0.02,0.01,0.0,0.0,0.03,"Sur les autres projets Wikimedia :
rush hour, sur le Wiktionnaire"
2493,14719,Pro Cast Sports Fishing,XB,2003.0,Sports,Capcom,0.02,0.01,0.0,0.0,0.03,no_data
2494,14720,Gintama: Banji Oku Chuubu!,Wii,2007.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,no_data
2495,14721,Aegis of Earth: Protonovus Assault,PS3,2016.0,Action,PQube,0.01,0.01,0.0,0.0,0.03,no_data
2496,14722,Saka Agari Hurricane Portable,PSP,2011.0,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,no_data
2497,14723,Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007.0,Strategy,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,"afficher
Cette section ne cite pas suffisamment ses sources (juin 2022). "
2498,14724,King Arthur II,PC,2011.0,Strategy,Paradox Interactive,0.0,0.02,0.0,0.0,0.03,no_data
2499,14725,Max Payne 2: The Fall of Max Payne,PC,2003.0,Shooter,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,"Cette section est vide, insuffisamment détaillée ou incomplète. Votre aide est la bienvenue ! Comment faire ?"
2500,14726,Dakar 2: The World's Ultimate Rally,GC,2003.0,Racing,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,no_data
2501,14727,NBA 2K7,XB,2006.0,Sports,Take-Two Interactive,0.02,0.01,0.0,0.0,0.03,"NBA 2K7
Développeur
Visual Concepts
Éditeur
2K Sports
Date de sortie
2006
Genre
Sport
Mode de jeu
Un à 7 joueurs en local et jusqu'à 10 en ligne
Plateforme
PlayStation 3, Xbox 360, PlayStation 2
Évaluation
PEGI : 3+ ?
NBA 2K
NBA 2K6 NBA 2K8
modifier - modifier le code - modifier Wikidata"
2502,14728,Auto Modellista,GC,2003.0,Racing,Capcom,0.02,0.01,0.0,0.0,0.03,"Auto Modellista
Développeur
Capcom Production Studio 1
Éditeur
Capcom
Compositeur
Tetsuya Shibata (en)
Date de sortie
PlayStation 2 :
FRA : 3 décembre 2002
JAP : 22 août 2002

Xbox :
USA : 21 janvier 2004
JAP : 20 janvier 2004

GameCube :
JAP : 3 juillet 2003
USA : 1er octobre 2003
Genre
Course
Mode de jeu
Un à deux joueur(s)
Plateforme
GameCube, PlayStation 2, Xbox
Évaluation
PEGI : 3+ ?
modifier - modifier le code - modifier Wikidata"
2503,14729,Jewel Match 2,DS,2012.0,Puzzle,Easy Interactive,0.0,0.02,0.0,0.0,0.03,no_data
2504,14730,"Hanayaka Kana, Ware ga Ichizoku Twin Pack",PSP,2011.0,Misc,Idea Factory,0.0,0.0,0.03,0.0,0.03,no_data
2505,14731,MySims,PC,2008.0,Simulation,Electronic Arts,0.0,0.02,0.0,0.0,0.03,"Cet article ne cite pas suffisamment ses sources (octobre 2019).
Si vous disposez d'ouvrages ou d'articles de référence ou si vous connaissez des sites web de qualité traitant du thème abordé ici, merci de compléter l'article en donnant les références utiles à sa vérifiabilité et en les liant à la section « Notes et références »
En pratique : Quelles sources sont attendues ? Comment ajouter mes sources ?"
2506,14732,Guild Wars: Nightfall,PC,2006.0,Role-Playing,NCSoft,0.0,0.02,0.0,0.01,0.03,no_data
2507,14733,Greg Hastings' Tournament Paintball Max'd,GBA,2006.0,Shooter,Activision,0.02,0.01,0.0,0.0,0.03,no_data
2508,14734,Dave Mirra Freestyle BMX 3,GBA,2002.0,Sports,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,"Dave Mirra Freestyle BMX 3
Développeur
Full Fat
Éditeur
AKA Acclaim
Date de sortie
26 novembre 2002
Franchise
Dave Mirra Freestyle BMX (en)
Genre
Sport (BMX)
Mode de jeu
Multijoueur, solo
Plateforme
Game Boy Advance
modifier - modifier le code - modifier Wikidata"
2509,14735,My Animal Centre,Wii,2009.0,Simulation,Deep Silver,0.0,0.02,0.0,0.0,0.03,no_data
2510,14736,Eco Creatures: Save The Forest,DS,2007.0,Adventure,Rising Star Games,0.03,0.0,0.0,0.0,0.03,"Ecolis
Défends la forêt
Développeur
Headlock
Éditeur
JAP Interchannel
AN Majesco
EUR Rising Star Games
Date de sortie
JAP 23 août 2007
AN 4 mars 2008
EUR 13 juin 2008
Genre
Stratégie en temps réel
Mode de jeu
Solo, multijoueur
Plateforme
Nintendo DS
Site web
www.gungho.jp/cgame/game/ecolis
modifier - modifier le code - modifier Wikidata"
2511,14737,Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,DS,2009.0,Adventure,Creative Core,0.0,0.0,0.03,0.0,0.03,no_data
2512,14738,Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,DS,2011.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,no_data
2513,14739,Dragon Tamer: Sound Spirit,DS,2007.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,no_data
2514,14740,Frogger: Ancient Shadow,XB,2005.0,Platform,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,no_data
2515,14741,Pro Evolution Soccer 2017,XOne,2016.0,Sports,Konami Digital Entertainment,0.0,0.02,0.0,0.0,0.03,"Cette section contient une ou plusieurs listes. Le texte gagnerait à être rédigé sous la forme de paragraphes synthétiques. Les listes peuvent demeurer si elles sont introduites par une partie rédigée et sourcée, de façon à bien resituer les différents items.  (avril 2020)."
2516,14742,La Pucelle: Ragnarok,PSP,2009.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.03,0.0,0.03,no_data
2517,14743,Kiniro no Corda 2 f Encore,PSP,2009.0,Role-Playing,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,no_data
2518,14744,Darius II,SAT,1995.0,Shooter,Taito,0.0,0.0,0.03,0.0,0.03,"Tombe de Darius II à Naqsh-e Rostam, Iran."
2519,14745,Jewel Quest 5: The Sleepless Star,DS,2012.0,Action,Licensed 4U,0.0,0.02,0.0,0.0,0.03,no_data
2520,14746,RollerCoaster Tycoon 2: Triple Thrill Pack,PC,2003.0,Strategy,Atari,0.0,0.02,0.0,0.01,0.03,no_data
2521,14747,Bleach: Soul Carnival 2,PSP,2009.0,Fighting,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03,no_data
2522,14748,ParaParaParadise,PS2,2001.0,Misc,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,no_data
2523,14749,Tiger & Bunny: On-Air Jack!,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,no_data
2524,14750,Pro Evolution Soccer 2012,3DS,2011.0,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.03,"Cet article est une ébauche concernant le jeu vidéo.
Vous pouvez partager vos connaissances en l’améliorant (comment ?) (voir l’aide à la rédaction)."
2525,14751,Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,2012.0,Action,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,no_data
2526,14752,Warship Gunner 2,PS2,2006.0,Simulation,Tecmo Koei,0.01,0.01,0.0,0.0,0.03,no_data
2527,14753,Gotcha Force,GC,2003.0,Shooter,Capcom,0.01,0.0,0.01,0.0,0.03,no_data
2528,14754,The Battle of Yuu Yuu Hakusho: Shitou! Ankoku Bujutsukai! 120%,PS2,2007.0,Fighting,Banpresto,0.0,0.0,0.03,0.0,0.03,no_data
2529,14755,Star Wars The Clone Wars: Republic Heroes,PC,2009.0,Action,LucasArts,0.0,0.02,0.0,0.0,0.03,no_data
2530,14756,CID The Dummy,PSP,2009.0,Platform,Oxygen Interactive,0.02,0.0,0.0,0.0,0.03,no_data
2531,14757,Xblaze: Lost Memories,PSV,2015.0,Adventure,Arc System Works,0.02,0.0,0.0,0.01,0.03,"Xblaze Lost
Memories
Développeur
Arc System Works
Éditeur
JAP Arc System Works
AN Aksys Games
Date de sortie
PlayStation 3, PlayStation Vita
JAP 9 avril 2015
AN 11 août 2015
EUR 21 juin 2016
Windows
11 août 2016
Genre
Visual novel
Mode de jeu
Solo
Plateforme
Ordinateur(s) :
Windows
Console(s) :
PlayStation 3
Console(s) portable(s) :
PlayStation Vita
Langue
Anglais, japonais
Site web
aksysgames.com/xblaze2, www.arcsystemworks.jp/xblaze_lm
modifier - modifier le code - modifier Wikidata"
2532,14758,DiRT Rally,PC,2016.0,Racing,Codemasters,0.0,0.03,0.0,0.0,0.03,La Polo R WRC présente sur la jaquette du jeu.
2533,14759,The Perfect Golf,PS,1995.0,Sports,Seta Corporation,0.0,0.0,0.03,0.0,0.03,no_data
2534,14760,Let's Sing 2016,PS4,2015.0,Action,FuRyu Corporation,0.02,0.0,0.0,0.01,0.03,no_data
2535,14761,Wrestle Kingdom,PS2,2006.0,Fighting,Yuke's,0.0,0.0,0.03,0.0,0.03,no_data
2536,14762,Demon Driver: Time to Burn Rubber!,GBA,2003.0,Racing,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,no_data
2537,14763,The Golf Club,XOne,2014.0,Sports,Unknown,0.02,0.0,0.0,0.0,0.03,no_data
2538,14764,Bigfoot King of Crush,Wii,2011.0,Racing,Zoo Games,0.02,0.0,0.0,0.0,0.03,no_data
2539,14765,Mojo!,XB,2003.0,Puzzle,DreamCatcher Interactive,0.02,0.01,0.0,0.0,0.03,"Mojo!
Développeur
FarSight Studios
Éditeur
Crave Entertainment
Genre
Jeu vidéo de réflexion
Mode de jeu
Solo, multijoueur
Plateforme
PlayStation 2, Xbox
modifier - modifier le code - modifier Wikidata"
2540,14766,Infinite Stratos 2: Ignition Hearts,PS3,2014.0,Adventure,5pb,0.0,0.0,0.03,0.0,0.03,no_data
2541,14767,Cabela's Big Game Hunter: Pro Hunts,X360,2014.0,Shooter,Activision,0.02,0.0,0.0,0.0,0.03,no_data
2542,14768,Mahou Sensei Negima! Kagai Jugyou ~Otome no Dokidoki Beachside~,PS2,2006.0,Adventure,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,no_data
2543,14769,Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,3DS,2013.0,Fighting,Arc System Works,0.0,0.0,0.03,0.0,0.03,no_data
2544,14770,The Sims 2: Bon Voyage,PC,2007.0,Simulation,Electronic Arts,0.01,0.01,0.0,0.0,0.03,no_data
2545,14771,Buffy the Vampire Slayer: Chaos Bleeds,GC,2003.0,Action,Vivendi Games,0.02,0.01,0.0,0.0,0.03,"Buffy the Vampire Slayer
Chaos Bleeds
Développeur
Eurocom
Éditeur
Vivendi Games
Date de sortie
Xbox1
AN 27 août 2003
EUR 24 octobre 2003
JAP 25 décembre 2003
PlayStation 2
AN 27 août 2003
EUR 24 octobre 2003
GameCube
AN 27 août 2003
EUR 3 novembre 2003
Genre
Beat them all
Mode de jeu
Un joueur
Plateforme
PlayStation 2, Xbox, GameCube
Évaluation
ESRB : T ?
PEGI : 16+ ?
modifier - modifier le code - modifier Wikidata"
2546,14772,Clannad,X360,2008.0,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03,no_data
2547,14773,Brothers Conflict: Passion Pink,PSP,2012.0,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,no_data
2548,14774,Kuryuu Youma Gakuenki Recharge,PS2,2006.0,Adventure,Atlus,0.0,0.0,0.03,0.0,0.03,no_data
2549,14775,My Frogger: Toy Trials,DS,2006.0,Action,Konami Digital Entertainment,0.02,0.0,0.0,0.0,0.03,no_data
2550,14776,Jet Grind Radio,GBA,2003.0,Action,Sega,0.02,0.01,0.0,0.0,0.03,"Jet Set Radio
Développeur
Smilebit
Blit Software (version HD)
Vicarious Visions (GBA)
Éditeur
Sega
THQ (GBA)
Réalisateur
Masayoshi Kikuchi
(producteur exécutif)
Kawagoe Takayuki
(producteur)
Ryuta Ueda
(directeur artistique)
Hosokawa Kazuki
(designer)
Compositeur
Hideki Naganuma,
Richard Jacques,
Tomonori Sawada
Date de sortie
Dreamcast
JAP : 29 juin 20001
AN : 31 octobre 20002
EUR : 24 novembre 20003

Rééditions
De La Jet Set Radio
JAP : 1er janvier 20014

Java ME
JAP : 22 juin 20015

Game Boy Advance
AN : 23 juin 20036
EUR : 20 février 2004

PlayStation 3
AN : 18 septembre 20127
EUR : 19 septembre 2012
JAP : 20 février 20138

Steam
INT : 19 septembre 20127

Xbox 360
AN : 19 septembre 20127
EUR : 19 septembre 2012
JAP : 20 février 20138

PlayStation Vita
AN : 20 novembre 20129
EUR : 21 novembre 20129
JAP : 20 février 20138

iOS
INT : 29 novembre 201210
JAP : 20 décembre 201211

Android
INT : 29 novembre 201210
JAP : 30 janvier 201312
Genre
Roller skating video game (d), jeu d'action
Mode de jeu
Un joueur
Plateforme
Ordinateur(s) :
Windows (via Steam)
Console(s) :
Dreamcast
PlayStation 3 (via PSN)
Xbox 360 (via XBLA)
Console(s) portable(s) :
Game Boy Advance
PlayStation Vita (via PSN)
Téléphone(s) mobile(s) :
iPhone, Android
Langue
Anglais, allemand, français, espagnol
Évaluation
PEGI 3 (d)
Site web
www.sega.co.uk/games/jet-set-radio
Jet Set Radio (en)
- Jet Set Radio Future
modifier - modifier le code - modifier Wikidata"
2551,14777,Farm Frenzy 3,DS,2011.0,Strategy,Unknown,0.0,0.02,0.0,0.0,0.03,no_data
2552,14778,Strike Witches: Aoi no Dengekisen - Shin Taichou Funtousuru!,DS,2009.0,Action,Russel,0.0,0.0,0.03,0.0,0.03,no_data
2553,14779,3DS Classic Collection,3DS,2016.0,Misc,Sega,0.02,0.0,0.0,0.0,0.03,no_data
2554,14780,Baldur's Gate: Dark Alliance,GBA,2004.0,Role-Playing,"Destination Software, Inc",0.02,0.01,0.0,0.0,0.03,"Baldur's Gate
Dark Alliance
Développeur
Snowblind Studios
Magic Pockets (GBA)
Éditeur
Black Isle Studios
Destination Software (GBA)
Compositeur
Jeremy Soule, Will Loconto (en)
Producteur
Darren Monahan (d)
Date de sortie
2001
Franchise
Baldur's Gate
Genre
Jeu vidéo de rôle
Mode de jeu
Un ou deux joueur(s)
Plateforme
PlayStation 2, Xbox, GameCube, Game Boy Advance
Langue
Anglais, français, italien, allemand, espagnol
Moteur
Snowblind Studios game engine (en)
Évaluation
PEGI 12 (d)
modifier - modifier le code - modifier Wikidata"
2555,14781,GRID Autosport,PC,2014.0,Racing,Codemasters,0.0,0.02,0.0,0.0,0.03,"GRID Autosport
Développeur
Codemasters
Feral Interactive (Linux, macOS, iOS et Android)
Éditeur
Codemasters
Feral Interactive (Linux, macOS, iOS et Android)
Distributeur
Codemasters
Scénariste
Codemasters
Date de sortie
Windows, PS3 et Xbox 360
AN : 24 juin 2014
AUS/NZL : 26 juin 2014
EUR : 27 juin 2014
Linux et macOS
INT : 10 décembre 2015
iOS
INT : automne 2017
Nintendo Switch
INT : 19 septembre 2019
Android
INT : 26 novembre 2019
Genre
Course automobile
Mode de jeu
Solo
Multijoueur (écran partagé, Internet)
Plateforme
Ordinateur(s) :
Linux, macOS, Windows
Console(s) :
PlayStation 3, Steam Machine, Nintendo Switch, Xbox 360 et Xbox One (rétrocompatible)
Téléphone(s) mobile(s) :
iOS, Android
Langue
Multilingue
Moteur
Ego Engine
Évaluation
ESRB : E ?1
PEGI : 3 ?
USK : 0 ?
Site web
www.gridgame.com
TOCA
GRID 2 (2013) GRID (2019)
modifier - modifier le code - modifier Wikidata"
2556,14782,The Adventures of Lomax,PS,1996.0,Platform,Psygnosis,0.01,0.01,0.0,0.0,0.03,"Pour les articles homonymes, voir Lomax."
2557,14783,Neverwinter Nights Diamond,PC,2004.0,Role-Playing,Atari,0.0,0.02,0.0,0.0,0.03,no_data
2558,14784,Divinity II: Flames of Vengeance,PC,2010.0,Role-Playing,DTP Entertainment,0.0,0.02,0.0,0.01,0.03,"Divinity II
Développeur
Larian Studios
Éditeur
EUR dtp entertainment
AN cdv Software Entertainment
The Dragon Knight Saga
Focus Home Interactive
Compositeur
Kirill Pokrovsky
Date de sortie
EUR 20 novembre 2009
AN 5 janvier 2010
Genre
Action-RPG, hack 'n' slash
Mode de jeu
Solo
Plateforme
Ordinateur(s) :
Windows
Console(s) :
Xbox 360
Langue
Anglais, allemand, français, russe, polonais, italien, espagnol
Moteur
Gamebryo
Site web
www.divinity2.com
modifier - modifier le code - modifier Wikidata"
2559,14785,Under the Skin,PS2,2004.0,Action,Capcom,0.01,0.01,0.0,0.0,0.03,no_data
2560,14786,Battlefield 2142,PC,2006.0,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03,"Battlefield 2142
Logo officiel de Battlefield 2142.
Développeur
DICE
Éditeur
Electronic Arts
Réalisateur
Lars Gustavsson
Compositeur
Gregor Narholz
Début du projet
2005
Date de sortie
18 octobre 2006
18 octobre 2006
18 octobre 2006
20 octobre 2006
27 octobre 2006
2 novembre 2006
Genre
Tir à la première personne
Mode de jeu
Un joueur, multijoueur
Plateforme
Windows, Mac OS X
Langue
Multilingue
Moteur
Refractor Engine 2.0
Version
1.51 (février 2011)
Évaluation
ESRB : T ?
PEGI : 16+ ?
Battlefield
Battlefield 2 (2005) Battlefield 3 (2011)
modifier - modifier le code - modifier Wikidata"
2561,14787,Kabu Trader Shun,DS,2007.0,Action,Capcom,0.0,0.0,0.03,0.0,0.03,"Kabu Trader Shun
Développeur
Capcom
Éditeur
Capcom
Compositeur
Ippo Yamada (en)
Date de sortie
7 juin 2007
Genre
Aventure
Mode de jeu
Solo
Plateforme
Nintendo DS
Langue
Japonais
Site web
www.capcom.co.jp/shun
modifier - modifier le code - modifier Wikidata"
2562,14788,Air Conflicts: Secret Wars,PC,2011.0,Simulation,bitComposer Games,0.0,0.02,0.0,0.01,0.03,no_data
2563,14789,Poy Poy,PS,1997.0,Action,Konami Digital Entertainment,0.01,0.01,0.0,0.0,0.03,no_data
2564,14790,Hermie Hopperhead: Scrap Panic,PS,1995.0,Platform,Sony Computer Entertainment,0.0,0.0,0.02,0.0,0.03,no_data
2565,14791,Lost Planet 2,PC,2010.0,Shooter,Capcom,0.0,0.02,0.0,0.01,0.03,"Lost Planet 2
Développeur
Capcom
Éditeur
Capcom
Producteur
Jun Takeuchi
Date de sortie
USA/EUR : 11 mai 2010
JAP : 20 mai 2010
Franchise
Lost Planet (en)
Genre
Tir à la troisième personne
Mode de jeu
Un joueur
Jeu en ligne : 1 à 16 joueurs
Plateforme
Ordinateur(s) :
Windows
Console(s) :
Xbox 360, PlayStation 3
Langue
Anglais, français, allemand, italien, espagnol, japonais, coréen, polonais, russe
Moteur
MT Framework
Évaluation
PEGI : 16 ?
Site web
www.lostplanet2game.com
modifier - modifier le code - modifier Wikidata"
2566,14792,NHL 07,XB,2006.0,Sports,Electronic Arts,0.02,0.01,0.0,0.0,0.03,"NHL 07
Développeur
EA Vancouver
Éditeur
EA Sports
Date de sortie
2006
Genre
Hockey sur glace
Mode de jeu
Multijoueur, solo
Plateforme
Windows, PlayStation Portable, PlayStation 2, Xbox, Xbox 360
NHL
NHL 06 NHL 08
modifier - modifier le code - modifier Wikidata"
2567,14793,DrumMania 7th Mix,PS2,2001.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,no_data
2568,14794,Runabout 3: Neo Age,PS2,2002.0,Racing,BAM! Entertainment,0.0,0.0,0.03,0.0,0.03,no_data
2569,14795,AMNESIA World,PSV,2014.0,Adventure,Idea Factory,0.0,0.0,0.03,0.0,0.03,no_data
2570,14796,Captain Morgane and the Golden Turtle,PS3,2012.0,Adventure,Reef Entertainment,0.0,0.02,0.0,0.01,0.03,no_data
2571,14797,Bully: Scholarship Edition,PC,2008.0,Action,Take-Two Interactive,0.0,0.02,0.0,0.0,0.03,"Canis Canem Edit
Développeur
Rockstar Vancouver (PS2)
Rockstar New England (Xbox 360, PC)1
Rockstar Toronto (Wii)
Éditeur
Rockstar Games
Bethesda Softworks (Japon)2
Compositeur
Shawn Lee
Date de sortie
PlayStation 2 :
AN : 17 octobre 2006
EU : 25 octobre 2006
AUS : 27 octobre 20063

Wii, Xbox 360 :
AN : 4 mars 2008
EU : 7 mars 20084

Windows :
AN : 21 octobre 2008
EU : 24 octobre 20085
Genre
Action-aventure, monde ouvert
Mode de jeu
Un joueur
Deux joueurs (exclusivité Xbox 360 et Wii)
Plateforme
PlayStation 2, Xbox 360, Wii, Windows, iOS, Android
Langue
Anglais, français, allemand, italien, japonais, espagnol, polonais, russe
Moteur
RenderWare (PS2)
Gamebryo (PC, Xbox 360, Wii)6
Évaluation
PEGI 16 (d)
Site web
www.rockstargames.com/bully/home
modifier - modifier le code - modifier Wikidata"
2572,14798,My Ballet Studio,Wii,2009.0,Simulation,505 Games,0.02,0.0,0.0,0.0,0.03,no_data
2573,14799,Guild Wars,PC,2005.0,Role-Playing,NCSoft,0.02,0.0,0.0,0.0,0.03,"Guild Wars
Genre
CORPG, MMORPG
Développeur
ArenaNet
Éditeur
NCsoft
Personnalité clé
Jeremy Soule (musique)
Premier jeu
2005 : Guild Wars Prophecies
Plate-forme
Windows
Site web
www.guildwars.com
modifier - modifier le code - modifier Wikidata"
2574,14800,Clannad: Mitsumi Mamoru Sakamichi de - Gekan,PSP,2010.0,Adventure,Prototype,0.0,0.0,0.03,0.0,0.03,no_data
2575,14801,Archer Maclean Presents: Pool Paradise,GC,2004.0,Sports,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,no_data
2576,14802,Sengoku Efuda Yuugi: Hototogisu Tairan,PSP,2010.0,Strategy,Irem Software Engineering,0.0,0.0,0.03,0.0,0.03,no_data
